SSA (m2/g),ID/IG,%N,%O,%S,Current density (A/g),Specific capacitance (F/g),Calculated pH
388.0,0.0,4.44,5.51,0.0,4.0,300.0,14.0
388.0,0.0,4.44,5.51,0.0,5.0,290.0,14.0
388.0,0.0,4.44,5.51,0.0,6.0,285.0,14.0
388.0,0.0,4.44,5.51,0.0,8.0,270.0,14.0
388.0,0.0,4.44,5.51,0.0,10.0,250.0,14.0
244.0,0.0,1.32,3.68,0.0,0.5,350.0,14.0
244.0,0.0,1.32,3.68,0.0,1.0,270.0,14.0
244.0,0.0,1.32,3.68,0.0,2.0,175.0,14.0
244.0,0.0,1.32,3.68,0.0,3.0,165.0,14.0
244.0,0.0,1.32,3.68,0.0,4.0,150.0,14.0
244.0,0.0,1.32,3.68,0.0,5.0,145.0,14.0
244.0,0.0,1.32,3.68,0.0,6.0,130.0,14.0
244.0,0.0,1.32,3.68,0.0,8.0,120.0,14.0
244.0,0.0,1.32,3.68,0.0,10.0,110.0,14.0
166.0,1.0,0.0,21.88,0.0,0.5,200.0,14.78
191.8,1.06,7.59,16.04,0.0,0.5,278.3,14.78
196.8,1.02,7.71,16.01,0.0,0.5,334.0,14.78
178.6,1.04,8.08,13.36,0.0,0.5,241.1,14.78
196.8,1.02,4.58,13.53,0.0,0.5,204.8,14.78
196.8,1.02,3.53,15.66,0.0,0.5,305.0,14.78
196.8,1.02,2.5,19.42,0.0,0.5,173.9,14.78
166.0,1.0,0.0,21.88,0.0,1.0,176.87,14.78
191.8,1.06,7.59,16.04,0.0,1.0,234.53,14.78
196.8,1.02,7.71,16.01,0.0,1.0,285.5,14.78
178.6,1.04,8.08,13.36,0.0,1.0,211.68,14.78
166.0,1.0,0.0,21.88,0.0,2.0,163.27,14.78
191.8,1.06,7.59,16.04,0.0,2.0,211.51,14.78
196.8,1.02,7.71,16.01,0.0,2.0,259.54,14.78
178.6,1.04,8.08,13.36,0.0,2.0,200.0,14.78
166.0,1.0,0.0,21.88,0.0,5.0,153.06,14.78
191.8,1.06,7.59,16.04,0.0,5.0,194.24,14.78
196.8,1.02,7.71,16.01,0.0,5.0,238.17,14.78
178.6,1.04,8.08,13.36,0.0,5.0,183.21,14.78
166.0,1.0,0.0,21.88,0.0,10.0,142.86,14.78
191.8,1.06,7.59,16.04,0.0,10.0,179.86,14.78
196.8,1.02,7.71,16.01,0.0,10.0,226.72,14.78
178.6,1.04,8.08,13.36,0.0,10.0,171.53,14.78
166.0,1.0,0.0,21.88,0.0,20.0,132.65,14.78
191.8,1.06,7.59,16.04,0.0,20.0,165.47,14.78
196.8,1.02,7.71,16.01,0.0,20.0,209.92,14.78
178.6,1.04,8.08,13.36,0.0,20.0,163.5,14.78
267.1,0.85,0.0,17.6,0.0,0.1,131.0,14.78
267.1,0.85,0.0,17.6,0.0,0.5,129.0,14.78
267.1,0.85,0.0,17.6,0.0,1.0,125.0,14.78
267.1,0.85,0.0,17.6,0.0,2.0,112.0,14.78
267.1,0.85,0.0,17.6,0.0,5.0,87.5,14.78
267.1,0.85,0.0,17.6,0.0,10.0,69.0,14.78
278.5,0.38,0.0,3.04,0.0,0.1,170.0,14.78
278.5,0.38,0.0,3.04,0.0,0.5,160.0,14.78
278.5,0.38,0.0,3.04,0.0,1.0,150.0,14.78
278.5,0.38,0.0,3.04,0.0,2.0,125.0,14.78
278.5,0.38,0.0,3.04,0.0,5.0,102.0,14.78
278.5,0.38,0.0,3.04,0.0,10.0,84.0,14.78
353.1,0.46,1.1,7.23,0.0,0.1,219.0,14.78
353.1,0.46,1.1,7.23,0.0,0.5,175.0,14.78
